Youtube link,Product,Crop,Region,Language,Product Code,Month
https://www.youtube.com/watch?v=fUnTMHQe9ig,Shriram Bikuta,Cotton,Punjab,Punjabi,BIKU054CP,9
https://www.youtube.com/watch?v=kW01bMWYijc&pp=0gcJCX4JAYcqIYzv,Shriram Bikuta,Cotton,Maharashtra,Marathi,BIKU054CP,9
https://www.youtube.com/watch?v=6Fmvi9mQuyI,Shriram Bikuta,Cotton,Karnataka,Kannada,BIKU054CP,9
https://www.youtube.com/watch?v=AimUlgJcIrA,Shriram Bikuta,Cotton,Gujarat,Gujarati,BIKU054CP,9
https://www.youtube.com/watch?v=kgQDBzldmoc,Shriram Trexter,All Crops,"Andhra Pradesh, Telangana",Telugu,TREX051CP,9
https://www.youtube.com/watch?v=I7OA8stHzwg,Shriram Trexter,All Crops,Punjab,Punjabi,TREX051CP,9
https://www.youtube.com/watch?v=Nc47xEy3j3Y,Shriram Trexter,All Crops,Maharashtra,Marathi,TREX051CP,9
https://www.youtube.com/watch?v=Bqzin7SS6Dk,Shriram Trexter,All Crops,Karnataka,Kannada,TREX051CP,9
https://www.youtube.com/watch?v=2P0FgW9dwhM,Shriram Trexter,All Crops,Gujarat,Gujarati,TREX051CP,9
https://www.youtube.com/watch?v=QR89IFxi7sU,Shriram Ganga BG II,Cotton,Gujarat,Gujarati,GANG015HY,9
https://www.youtube.com/watch?v=AbmzJiBRkWk,Shriram Ganga BG II,Cotton,Gujarat,Gujarati,GANG015HY,9
https://www.youtube.com/watch?v=5Ekq_nfGoM4,Shriram Ganga BG II,Cotton,Madhya Pradesh,Hindi,GANG015HY,9
https://www.youtube.com/watch?v=9KVPezXu1DI,Shriram Ganga BG II,Cotton,Maharashtra,Marathi,GANG015HY,9
https://www.youtube.com/watch?v=py8Kg2ehBbk,Shriram Ganga BG II,Cotton,Maharashtra,Marathi,GANG015HY,9
https://www.youtube.com/watch?v=zxgjADvqjPA,Shriram Ganga BG II,Cotton,Maharashtra,Marathi,GANG015HY,9
https://www.youtube.com/watch?v=-XiTjZsDzFg,Shriram Trexter,All Crops,All India,Hindi,TREX051CP,9
https://www.youtube.com/watch?v=sq9wetOMioE,Shriram Bikuta,Cotton,All India,Hindi,BIKU054CP,9
https://www.youtube.com/watch?v=S5zYAbEl2Zw,SHRIRAM PROTOBUZ+,All Crops,All India,Hindi,PROT031PN,9
https://www.youtube.com/watch?v=z9VBbdNBXvY,Shriram Trexter,All Crops,All India,Hindi,TREX051CP,9
https://www.youtube.com/watch?v=iT0WDugbFps,Shriram 8866,Bajra,,Hindi,8866004HY,9
https://www.youtube.com/watch?v=H1i0c69mFRw,Shriram Bikuta,Cotton,All India,Hindi,BIKU054CP,9
https://www.youtube.com/watch?v=sC4Vk5tBXhI,Shriram 8866,Bajra,Rajasthan,Hindi,8866004HY,9
https://www.youtube.com/watch?v=vZIxExwWqhU,Shriram 8860,Bajra,Rajasthan,Hindi,8860006HY,9
https://www.youtube.com/watch?v=Jq-vLYVqFyE,Shriram 8860,Bajra,Rajasthan,Hindi,8860006HY,9
https://www.youtube.com/watch?v=BfsTWO_sWtM,Shriram 8866,Bajra,Rajasthan,Hindi,8866004HY,9
https://www.youtube.com/watch?v=3r8LPv7BytU,Shriram 8860,Bajra,Rajasthan,Hindi,8860006HY,9
https://www.youtube.com/watch?v=ePEE4Gerpc4,Shriram 8860,Bajra,Rajasthan,Hindi,8860006HY,9
https://www.youtube.com/watch?v=wqY3_A_vDhk,Shriram 8860,Bajra,Rajasthan,Hindi,8860006HY,9
https://www.youtube.com/watch?v=h16UU5JUW80,Shriram 8860,Bajra,Rajasthan,Hindi,8860006HY,9
https://www.youtube.com/watch?v=3u_8FEDo4wg,Shriram Dripit Vegetables - Grade I,Tomato,Karnataka,Kannada,DRV1010PN,9
https://www.youtube.com/watch?v=TZgZGczMGM8,Shriram Dripit Vegetables - Grade I,Watermelon,Karnataka,Kannada,DRV1010PN,9
https://www.youtube.com/watch?v=UmY5B9reVws,Shriram Dripit Vegetables - Grade I,Tomato,Karnataka,Kannada,DRV1010PN,9
https://www.youtube.com/watch?v=FuLYZx2UsZg,Shriram Dripit Vegetables - Grade I,Rose,Karnataka,Kannada,DRV1010PN,9
https://www.youtube.com/watch?v=q4QRgI3m_70&pp=0gcJCX4JAYcqIYzv,Shriram Dripit Vegetables - Grade I,Watermelon,Karnataka,Kannada,DRV1010PN,9
https://www.youtube.com/watch?v=qBO_5IM5A_4,Shriram Dripit Vegetables - Grade I,Gerbera,Karnataka,Kannada,DRV1010PN,9
https://www.youtube.com/watch?v=5QGkq6VpfX8,Shriram Super 4466,Paddy,Bihar,Hindi,4466005RP,9
https://www.youtube.com/watch?v=846J91n53l0,Shriram Super 7711,Paddy,Uttar Pradesh,Hindi,7711006RP,9
https://www.youtube.com/watch?v=eSgtFjPruRQ&pp=0gcJCX4JAYcqIYzv,Shriram Super 7711,Paddy,Uttar Pradesh,Hindi,7711006RP,9
https://www.youtube.com/watch?v=2_C4d7Bs2TA,Shriram Super 4400,Paddy,Bihar,Hindi,4400004RP,9
